X;Y;Z
-0.638771;-0.321785;2.84534
-0.637622;-0.32123;2.84022
-0.639485;-0.322201;2.84849
-0.636026;-0.320481;2.8331
-0.636016;-0.320513;2.83332
-0.637734;-0.321337;2.84038
-0.636737;-0.320782;2.83628
-0.638905;-0.321906;2.84564
-0.638884;-0.321934;2.84547
-0.637215;-0.320994;2.83815
-0.637857;-0.321364;2.84113
-0.63825;-0.321625;2.84311
-0.638868;-0.321926;2.8454
-0.63879;-0.321851;2.84542
-0.639721;-0.322348;2.84953
-0.640602;-0.322777;2.85332
-0.639061;-0.321969;2.84648
-0.639668;-0.322384;2.84929
-0.637792;-0.321403;2.84095
-0.639398;-0.322228;2.84776
-0.63868;-0.321853;2.84489
-0.639073;-0.322052;2.84664
-0.636728;-0.320899;2.83621
-0.638688;-0.32192;2.84493
-0.638471;-0.321732;2.84384
-0.639456;-0.322289;2.84845
-0.638976;-0.322007;2.84624
-0.638943;-0.32194;2.84598
-0.64089;-0.322906;2.85448
-0.640109;-0.322619;2.85112
-0.635701;-0.32034;2.83182
-0.638545;-0.321817;2.84432
-0.64043;-0.322753;2.85256
-0.638412;-0.321764;2.84384
-0.642956;-0.324024;2.86376
-0.639992;-0.322534;2.85025
-0.639642;-0.32237;2.849
-0.638097;-0.321578;2.84245
-0.639593;-0.322345;2.84896
-0.641854;-0.323416;2.85818
-0.640228;-0.322665;2.85129
-0.641391;-0.323253;2.85665
-0.640679;-0.322887;2.85349
-0.642456;-0.323757;2.8611
-0.64341;-0.324276;2.86522
-0.640142;-0.32259;2.85115
-0.641168;-0.323138;2.85537
-0.637368;-0.321243;2.83911
-0.64144;-0.323261;2.85674
-0.641619;-0.323346;2.85755
-0.640356;-0.322697;2.85209
-0.640459;-0.322706;2.85243
-0.6418;-0.323458;2.85851
-0.642569;-0.323807;2.86136
-0.639224;-0.322137;2.84716
-0.642814;-0.324003;2.86301
-0.643374;-0.32426;2.86507
-0.63974;-0.322377;2.8495
-0.644877;-0.325049;2.87177
-0.643349;-0.324231;2.86483
-0.642444;-0.323777;2.86107
-0.642067;-0.323655;2.85963
-0.642489;-0.323866;2.8611
-0.640624;-0.322779;2.85287
-0.641071;-0.323144;2.85501
-0.641917;-0.323501;2.85916
-0.641171;-0.323094;2.85559
-0.641188;-0.32315;2.85548
-0.642335;-0.323764;2.86082
-0.649264;-0.327233;2.89148
-0.647111;-0.326101;2.88171
-0.643521;-0.324322;2.86614
-0.639848;-0.322478;2.85012
-0.643341;-0.324242;2.86492
-0.641883;-0.323601;2.85894
-0.639464;-0.322274;2.84776
-0.639104;-0.322079;2.84639
-0.641086;-0.323097;2.855
-0.643293;-0.324252;2.86497
-0.641558;-0.323293;2.85691
-0.647111;-0.326101;2.88171
-0.642569;-0.323807;2.86136
-0.643135;-0.324126;2.86384
-0.6418;-0.323458;2.85851
-0.641895;-0.323516;2.85877
-0.642551;-0.323852;2.86171
-0.642569;-0.323807;2.86136
-0.642501;-0.323856;2.86103
-0.642501;-0.323856;2.86103
-0.640726;-0.322921;2.85331
-0.643233;-0.324192;2.86441
-0.650292;-0.32777;2.89618
-0.64281;-0.324013;2.86282
-0.64192;-0.32355;2.85859
-0.640357;-0.32279;2.85209
-0.649021;-0.327141;2.89023
-0.643291;-0.324232;2.86482
-0.643206;-0.324224;2.8643
-0.643631;-0.324406;2.86634
-0.641734;-0.323494;2.85804
