X;Y;Z
-0.00263243;-0.000294388;2.86394
-0.00265536;-0.000328657;2.86861
-0.00267849;-0.000288684;2.86767
-0.00265124;-0.000312355;2.86501
-0.00262528;-0.000290957;2.86566
-0.00263522;-0.000314203;2.86405
-0.00266872;-0.000312948;2.86273
-0.00264573;-0.000313137;2.8641
-0.00270207;-0.00032848;2.86578
-0.00265241;-0.000331309;2.86525
-0.00267614;-0.000331191;2.86382
-0.00261778;-0.000333996;2.86573
-0.00258364;-0.000315193;2.86611
-0.0026332;-0.000334124;2.86371
-0.00267445;-0.000332229;2.86332
-0.00265637;-0.00035402;2.86199
-0.00262964;-0.000334887;2.86306
-0.00267477;-0.000352099;2.86319
-0.00265642;-0.00033212;2.86514
-0.00264753;-0.000315163;2.8613
-0.00265552;-0.000314321;2.86216
-0.00265314;-0.000334567;2.86181
-0.00263219;-0.000314603;2.86347
-0.00265365;-0.00033087;2.86187
-0.00265036;-0.000314756;2.86159
-0.00261491;-0.000290595;2.86581
-0.00258971;-0.000354149;2.86669
-0.00263508;-0.000334511;2.8636
-0.00267155;-0.000332487;2.86283
-0.00263005;-0.000291157;2.86374
-0.00260736;-0.000314705;2.86508
-0.00265831;-0.000334223;2.86217
-0.00265314;-0.000334567;2.86181
-0.0025816;-0.000313176;2.86536
-0.00263261;-0.000310885;2.86353
-0.00260952;-0.00033452;2.86484
-0.00262964;-0.000334887;2.86306
-0.00265065;-0.000334665;2.86145
-0.00263462;-0.000314692;2.86367
-0.00264296;-0.000293693;2.86073
-0.00262751;-0.000314888;2.86305
-0.00264312;-0.000333964;2.86403
-0.00263462;-0.000314692;2.86367
-0.00262803;-0.000272735;2.86349
-0.00263569;-0.000330749;2.86363
-0.00263791;-0.000334118;2.86386
-0.00263001;-0.000314678;2.86354
-0.00260955;-0.000310854;2.86508
-0.00263005;-0.000291157;2.86374
-0.00261742;-0.000333641;2.86917
-0.00260955;-0.000310854;2.86508
-0.00262487;-0.000335257;2.86253
-0.00264781;-0.000335083;2.86115
-0.0026348;-0.000291235;2.86374
-0.00264784;-0.000311544;2.86138
-0.00260666;-0.000334965;2.86452
-0.00263064;-0.000354418;2.86327
-0.0026367;-0.000356263;2.86371
-0.00262467;-0.000315318;2.86274
-0.00260666;-0.000334965;2.86452
-0.00263495;-0.000376252;2.8637
-0.00260666;-0.000334965;2.86452
-0.00263548;-0.000354326;2.86353
-0.00261515;-0.000333961;2.86558
-0.00261994;-0.000293875;2.86202
-0.00259213;-0.000314053;2.86731
-0.0026332;-0.000334124;2.86371
-0.00258952;-0.000334319;2.86686
-0.00260482;-0.000232801;2.86368
-0.00259097;-0.000316868;2.86392
-0.00258374;-0.000335106;2.86587
-0.00262062;-0.000333602;2.86598
-0.00263064;-0.000354418;2.86327
-0.00261545;-0.000353765;2.86546
-0.00263064;-0.000354418;2.86327
-0.00262928;-0.000356932;2.86311
-0.00263036;-0.000334547;2.86341
-0.00260666;-0.000334965;2.86452
-0.00262964;-0.000334887;2.86306
-0.00264781;-0.000335083;2.86115
-0.00263692;-0.000336135;2.86415
-0.00258971;-0.000354149;2.86669
-0.00259259;-0.00035368;2.867
-0.00259213;-0.000314053;2.86731
-0.0026335;-0.000353982;2.86357
-0.00261515;-0.000333961;2.86558
-0.00263064;-0.000354418;2.86327
-0.00260199;-0.000335487;2.86382
-0.00260666;-0.000334965;2.86452
-0.00265365;-0.00033087;2.86187
-0.00260666;-0.000334965;2.86452
-0.00261688;-0.000376139;2.86552
-0.0025866;-0.000334635;2.8662
-0.00260952;-0.00033452;2.86484
-0.00259705;-0.000375613;2.86747
-0.00262487;-0.000335257;2.86253
-0.00260952;-0.00033452;2.86484
-0.00258374;-0.000335106;2.86587
-0.00260952;-0.00033452;2.86484
-0.00259497;-0.000332425;2.86418
